Nome,Categoria,Endereço,Telefone,Email,Website,Origem
Sporting club of Portugal,Futebol,"Rua Professor Fernando da Fonseca B3, 1600-616 Lisboa, Portugal",21 751 6135,N/A (Google não fornece e-mail diretamente),https://www.sporting.pt/,Google Places API
Sport Lisboa e Benfica,Futebol,"Av. Eusébio da Silva Ferreira 18, 1500-313 Lisboa, Portugal",932 401 904,N/A (Google não fornece e-mail diretamente),https://www.slbenfica.pt/,Google Places API
Atlético Clube de Portugal,Futebol,"Complexo Desportivo, S/N, Estádio Da Tapadinha, Lisboa, 1300 Lisboa, Portugal",21 363 7986,N/A (Google não fornece e-mail diretamente),https://www.atleticocp.pt/,Google Places API
Clube de Futebol Benfica,Futebol,"R. Olivério Serpa 9, 1500-471 Lisboa, Portugal",21 150 4873,N/A (Google não fornece e-mail diretamente),http://futebolbenfica.com/,Google Places API
Clube de Futebol Os Belenenses,Futebol,"R. de Alcolena 5, 1400-005 Lisboa, Portugal",21 304 0000,N/A (Google não fornece e-mail diretamente),https://www.osbelenenses.com/,Google Places API
Sede - Vitória Clube de Lisboa,Futebol,"R. Silveira Peixoto 7, 1900-110 Lisboa, Portugal",21 848 4801,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Os Unidos,Futebol,"R. Rio Zêzere 2 1600-755, 1600-755 Lisboa, Portugal",21 714 5811,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Futebol Clube do Rossão,Futebol,"Largo Artur Bual 33, 1950-360 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Liberdade Atlético Clube,Futebol,"R. B Ao Bairro da Liberdade 83, 1070-146 Lisboa, Portugal",21 388 1546,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Sport Futebol Palmense,Futebol,"R. Afonso Botelho S.L.Palmense, 1600-181 Lisboa, Portugal",21 726 4531,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Ingleses Futebol Clube,Futebol,"LG Jaime Carvalho 15A, 1800-003 Lisboa, Portugal",21 852 2343,N/A (Google não fornece e-mail diretamente),https://www.inglesesfc.com/,Google Places API
Mirantense Futebol Clube,Futebol,"Rua do Vale de Santo António 35 1°piso, 1170-376 Lisboa, Portugal",21 814 3152,N/A (Google não fornece e-mail diretamente),https://www.facebook.com/100063532482359/,Google Places API
Clube de Futebol Varejense,Futebol,"Av. Afonso III 86, 1900-048 Lisboa, Portugal",21 814 4843,N/A (Google não fornece e-mail diretamente),https://cfvarejense.pt/,Google Places API
Sede - Caselas Futebol Clube,Futebol,"R. Padre Reis Lima, 1300-000 Lisboa, Portugal",938 252 891,N/A (Google não fornece e-mail diretamente),https://m.facebook.com/people/Caselas-Futebol-Clube/100057116393448/,Google Places API
Santana Futebol Clube,Futebol,"Letras SFC, Calçada dos Sete Moinhos, 1070-265 Lisboa, Portugal",21 800 7880,N/A (Google não fornece e-mail diretamente),https://www.facebook.com/SantanaFutebolClube1920,Google Places API
Clube Oriental de Lisboa,Futebol,"Praça David Leandro da Silva 22, 1950-064 Lisboa, Portugal",21 868 1055,N/A (Google não fornece e-mail diretamente),http://www.oriental.pt/,Google Places API
Vitória Clube de Lisboa,Futebol,"Calçada Carrascal 189, 1900-269 Lisboa, Portugal",21 848 4801,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Futebol Clube Do Porto,Futebol,"Av. da República 48, 1000 Lisboa, Portugal",21 796 7418,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Parque de Jogos Victor Peralta - Operário Futebol Clube de Lisboa,Futebol,"R. Barão Monte Pedral, 1170-039 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://polideportivopr.blogspot.com/,Google Places API
Clube Atletico Arroios,Futebol,"Rua de Arroios, 1150-260 Lisboa, Portugal",21 354 2650,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Benfica Escola de Futebol Estádio do Sport Lisboa e Benfica,Futebol,"Av. Eusébio da Silva Ferreira, 1500-313 Lisboa, Portugal",932 401 904,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Escola Academia Sporting - Carnide,Futebol,"Carnide, 1600 Lisbon, Portugal",N/A,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Academia Cristiano Ronaldo - Sporting CP,Futebol,"Estr. Malhada de Meias 2890, 2890-529 Alcochete, Portugal",21 232 7400,N/A (Google não fornece e-mail diretamente),https://www.sporting.pt/pt/clube/infraestruturas/academia,Google Places API
Benfica Escola de Futebol Alta de Lisboa,Futebol,"Campo nº1, Complexo Desportivo do Alto do Lumiar, Avenida Nuno Krus Abecassis, 1750-265 Lisboa, Portugal",935 344 080,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Sporting club of Portugal,Futebol,"Rua Professor Fernando da Fonseca B3, 1600-616 Lisboa, Portugal",21 751 6135,N/A (Google não fornece e-mail diretamente),https://www.sporting.pt/,Google Places API
Escola de Futebol Os Belenenses (Parque das Nações),Futebol,"Passeio do Parque, 1990-528 Lisboa, Portugal",925 321 988,N/A (Google não fornece e-mail diretamente),https://www.facebook.com/escolabelenensesparquedasnacoes/,Google Places API
UrbanSoccer,Futebol,"Grupo Desportivo Direito Parque Florestal de Monsanto, 1500-000 Lisboa, Portugal",932 168 065,N/A (Google não fornece e-mail diretamente),http://www.urbansoccer.pt/,Google Places API
A Escolinha do Figo - Colégio de São Tomás | Conchas,Futebol,"Colégio São Tomás, Av. Maria Helena Vieira da Silva, 1750-184 Lisboa, Portugal",927 163 726,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Escola de Futebol Benfica de Alvalade,Futebol,"Complexo Desportivo, Av. do Brasil, 1700-111 Lisboa, Portugal",934 784 050,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Escola Academia Sporting Algés,Futebol,"Calçada do Rio, 1495-113 Algés, Portugal",931 114 005,N/A (Google não fornece e-mail diretamente),https://www.instagram.com/academiasporting/,Google Places API
Benfica Campus,Futebol,"Q.ta da Trindade, 2840-600 Seixal, Portugal",21 710 8070,N/A (Google não fornece e-mail diretamente),https://www.slbenfica.pt/pt-pt/instituicao/instalacoes/benfica-campus,Google Places API
A Escolinha do Figo,Futebol,"R. José Escada, 1600-482 Lisboa, Portugal",927 163 726,N/A (Google não fornece e-mail diretamente),http://www.aescolinhadofigo.com/,Google Places API
C.R.P. Academia Desportiva Campolide,Futebol,"Rua 7, do Bairro da, CC dos Mestres S\N, 1070-264 Lisboa, Portugal",915 033 750,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Sport Lisboa e Benfica,Futebol,"Av. Eusébio da Silva Ferreira 18, 1500-313 Lisboa, Portugal",932 401 904,N/A (Google não fornece e-mail diretamente),https://www.slbenfica.pt/,Google Places API
Benfica Escola de Futebol Olivais / Expo,Futebol,"R. Almada Negreiros 460, 1800-017 Lisboa, Portugal",968 857 806,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Benfica Escola de Futebol Clube TAP,Futebol,"Complexo Desportivo do Clube TAP, Alameda da Encarnação, 1800-000 Lisboa, Portugal",915 585 960,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
A Escolinha do Figo - Escola Patrício Prazeres,Futebol,"R. Matilde Rosa Araújo, 1900-312 Lisboa, Portugal",927 163 726,N/A (Google não fornece e-mail diretamente),http://www.aescolinhadofigo.com/,Google Places API
Escola de Futebol Os Belenenses - Lisboa Centro,Futebol,"R. Olivença 1585, 1900-379 Lisboa, Portugal",916 285 544,N/A (Google não fornece e-mail diretamente),http://efb.osbelenenses.com/,Google Places API
Escola de Futebol 3F Free Fun Football Associação - Alvalade,Futebol,"Complexo Desportivo Mun. São João de Brito, 1700-111 Lisboa, Portugal",966 742 095,N/A (Google não fornece e-mail diretamente),https://www.3ffreefunfootball.com/,Google Places API
A Escolinha do Figo - Escola Alemã de Lisboa,Futebol,"Largo Willy Brandt, 1600-891 Lisboa, Portugal",927 163 726,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
GO fit Campo Grande,Fitness,"Garden of, 1700-162 Lisboa, Portugal",21 765 3464,N/A (Google não fornece e-mail diretamente),https://go-fit.pt/centros/go-fit-campo-grande/?utm_source=google-mb&utm_medium=organic&utm_campaign=campogrande,Google Places API
Portuguese Gym Club,Fitness,"Praça Ginásio Clube Português 1, 1250-111 Lisboa, Portugal",21 384 1580,N/A (Google não fornece e-mail diretamente),http://www.gcp.pt/,Google Places API
Lisbon Gymnastics Club,Fitness,"Rua dos Anjos 63, 1150-035 Lisboa, Portugal",21 315 4002,N/A (Google não fornece e-mail diretamente),http://www.lgc.pt/,Google Places API
LemonFit Parque das Nações,Fitness,"Av. da Peregrinação 2, 1990-382 Lisboa, Portugal",21 808 1934,N/A (Google não fornece e-mail diretamente),https://www.lemonfit.pt/parquedasnacoes,Google Places API
VivaGym Lumiar,Fitness,"R. Cordeiro Ferreira n.º 9, 1750-071 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://www.vivagym.pt/gimnasios/lumiar?utm_source=google&utm_medium=organic&utm_campaign=gmb-lumiar-vivagym,Google Places API
Ginásio VivaGym Parque das Nações,Fitness,"Edifício Fil, R. do Bojador 2, 1800-192 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://www.vivagym.pt/gimnasios/parque-das-nacoes?utm_source=google&utm_medium=organic&utm_campaign=gmb-parque-das-nacoes-vivagym,Google Places API
VivaGym Santos,Fitness,"R. do Instituto Industrial 7, 1200-225 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://www.vivagym.pt/gimnasios/santos?utm_source=google&utm_medium=organic&utm_campaign=gmb-santos-vivagym,Google Places API
GO fit Olivais,Fitness,"Av. de Berlim s/n, 1800-178 Lisboa, Portugal",21 851 0928,N/A (Google não fornece e-mail diretamente),https://go-fit.pt/centros/go-fit-olivais/?utm_source=google-mb&utm_medium=organic&utm_campaign=olivais,Google Places API
VivaGym Picoas,Fitness,"Picoas Plaza, R. Tomás Ribeiro 65, 1050-010 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://www.vivagym.pt/gimnasios/picoas?utm_source=google&utm_medium=organic&utm_campaign=gmb-picoas-vivagym,Google Places API
Absolute Health Club,Fitness,"R. Aquiles Monteverde 28d, 1000-018 Lisboa, Portugal",968 155 833,N/A (Google não fornece e-mail diretamente),http://www.absolutehealthclub.pt/,Google Places API
VivaGym Arco do Cego,Fitness,"R. Visc. de Santarém 69, 1000-005 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://www.vivagym.pt/gimnasios/arco-do-cego?utm_source=google&utm_medium=organic&utm_campaign=arco-do-cego-vivagym,Google Places API
VivaGym Campo Pequeno,Fitness,"Av. Elias Garcia 76, 1050-053 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://www.vivagym.pt/gimnasios/campo-pequeno?utm_source=google&utm_medium=organic&utm_campaign=gmb-campo-pequeno-vivagym,Google Places API
Academia Life Club,Fitness,"Av. Brasília 254, 1200-109 Lisboa, Portugal",21 393 4020,N/A (Google não fornece e-mail diretamente),http://www.academialifeclub.pt/,Google Places API
Ginásio Solinca Light Alvalade,Fitness,"R. Francisco Stromp 14, 1600-464 Lisboa, Portugal",930 488 650,N/A (Google não fornece e-mail diretamente),https://www.solinca.pt/solinca-clubes/alvalade/,Google Places API
Fitness Hut Almirante Reis,Fitness,"Av. Alm. Reis 65, 1150-011 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://www.vivagym.pt/gimnasios/almirante-reis?utm_source=google&utm_medium=organic&utm_campaign=almirante-reis-vivagym,Google Places API
Ginásio VivaGym Amoreiras,Fitness,"Rua Dom João V 24, 1250-091 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://www.vivagym.pt/gimnasios/amoreiras?utm_source=google&utm_medium=organic&utm_campaign=amoreiras-vivagym,Google Places API
Fitness Hut Marquês de Pombal,Fitness,"R. Alexandre Herculano 2, 1150-006 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://www.vivagym.pt/gimnasios/marques-de-pombal?utm_source=google&utm_medium=organic&utm_campaign=gmb-marques-de-pombal-vivagym,Google Places API
studiorise cycling,Fitness,"R. Correia Teles 18, 1350-092 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),http://www.studiorise.eu/,Google Places API
Solinca,Fitness,"C. Colombo Loja A 201 Avenida Lusíada, 1500-392 Lisboa, Portugal",21 012 9670,N/A (Google não fornece e-mail diretamente),https://www.solinca.pt/,Google Places API
VivaGym Olivais,Fitness,"R. Cidade de Bolama 2.01, 1800-079 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://www.vivagym.pt/gimnasios/olivais?utm_source=google&utm_medium=organic&utm_campaign=gmb-olivais-vivagym,Google Places API
Telo Fitness Studio | Personal Trainer - Pilates - Osteopatia | Lisboa,Fitness,"R. Rodrigues Sampaio 170 A, 1150-279 Lisboa, Portugal",913 743 480,N/A (Google não fornece e-mail diretamente),https://teloptstudio.com/?utm_source=ficha+google&utm_medium=gmn,Google Places API
ART Fitness Studio,Fitness,"Largo José João Farinha Júnior 2C, 1600-302 Lisboa, Portugal",916 801 511,N/A (Google não fornece e-mail diretamente),http://www.artstudiofitness.com/,Google Places API
Personal Trainer Lisboa - Martim Pires,Fitness,"R. Gen. Morais Sarmento, 1500-311 Lisboa, Portugal",926 484 457,N/A (Google não fornece e-mail diretamente),https://ptmartimpires.my.canva.site/,Google Places API
Lisbon Personal Trainer - Ruben Pinto,Fitness,"Lisbon Personal Trainer VivaGym, R. Alexandre Herculano 2, 1150-006 Lisboa, Portugal",919 622 055,N/A (Google não fornece e-mail diretamente),https://www.personaltrainerlisbon.com/,Google Places API
Anatomy Training Studio,Fitness,"R. Lúcio de Azevedo 25 A, 1600-145 Lisboa, Portugal",965 473 333,N/A (Google não fornece e-mail diretamente),http://www.anatomytraining.net/,Google Places API
FBW - Full Body Workout,Fitness,"Largo da Memória 3, 1300-011 Lisboa, Portugal",926 734 810,N/A (Google não fornece e-mail diretamente),https://fbw.pt/,Google Places API
Personal Training Studio,Fitness,"R. das Galés 17A, 1990-612 Lisboa, Portugal",916 810 027,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
"PT do Bairro Restelo - Pilates, Treino Personalizado, SPA e Clínica",Fitness,"R. Tristão Vaz 31A, 1400-350 Lisboa, Portugal",910 409 173,N/A (Google não fornece e-mail diretamente),https://www.ptdobairro.pt/restelo,Google Places API
PTLAB - Personal Training Studio,Fitness,"R. Q.ta da Formiga 13B, 1495-170 Algés, Portugal",917 707 739,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Evolution Health Studio | Restelo Fitness Ginásio,Fitness,"Rua Dom Jorge da Costa Nº10D, 1400-414 Lisboa, Portugal",969 296 702,N/A (Google não fornece e-mail diretamente),http://www.evolutionlisbon.pt/,Google Places API
EvoTone gym,Fitness,"R. Campo de Ourique 22, 1250-041 Lisboa, Portugal",934 597 510,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Tiago Carvalho - Personal Trainer,Fitness,"Alameda dos Oceanos 94, 1990-160 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),https://m.facebook.com/pt.tiagocarvalho/,Google Places API
Ricardo Saudade e Silva - Personal Trainer,Fitness,"Av. Miguel Bombarda 131A, 1050-128 Lisboa, Portugal",918 303 227,N/A (Google não fornece e-mail diretamente),https://www.ptricardosaudadesilva.com/,Google Places API
BTM Training Studio,Fitness,"R. António Pedro 29, 1150-014 Lisboa, Portugal",912 950 982,N/A (Google não fornece e-mail diretamente),http://www.facebook.com/btmtrainingstudio,Google Places API
Duarte Personal Training,Fitness,"R. do Patrocínio 63A, 1350-229 Lisboa, Portugal",918 800 801,N/A (Google não fornece e-mail diretamente),http://duarte.studio/,Google Places API
Personal Trainer - Francisco Burguette,Fitness,"R. João Dias 6 5 B, 1400-200 Lisboa, Portugal",962 517 810,N/A (Google não fornece e-mail diretamente),https://www.letslift.com.pt/,Google Places API
Personal Trainer Diogo Barbosa,Fitness,"Rua General Morais Sarmento - Antigo Laboratório de Investigação Veterinária Crossfit Move On primeiro pavilhão do lado direito, 1500-311 Lisboa, Portugal",966 158 634,N/A (Google não fornece e-mail diretamente),http://www.ptdiogobarbosa.pt/,Google Places API
Fitness Coach Jaime Ramos,Fitness,"Alameda dos Oceanos, 1990-238 Lisboa, Portugal",913 541 406,N/A (Google não fornece e-mail diretamente),https://www.facebook.com/profile.php?id=100046664719989,Google Places API
Estúdio de treinamento personalizado - Daniele Almeida,Fitness,"R. João Frederico Ludovice 26, 1500-356 Lisboa, Portugal",964 723 074,N/A (Google não fornece e-mail diretamente),https://www.instagram.com/personal_danielealmeida_asma/profilecard/?igsh=c2NmOHA0NW56Z3c5,Google Places API
Personal Trainer - Fausto Veríssimo,Fitness,"R. Alexandre Herculano 2, 1150-006 Lisboa, Portugal",918 981 471,N/A (Google não fornece e-mail diretamente),https://www.instagram.com/faustoverissimopt/?hl=pt,Google Places API
Clínica Médica Internacional de Lisboa,Medicina,"R. Castilho 39 9º A, 1250-068 Lisboa, Portugal",21 351 3310,N/A (Google não fornece e-mail diretamente),https://www.cmil.pt/,Google Places API
Medical One - Centro Clínico,Medicina,"R. Adriano Correia de Oliveira 6, 1600-312 Lisboa, Portugal",21 195 0001,N/A (Google não fornece e-mail diretamente),https://www.medicalone.pt/,Google Places API
CLIVIP - Clínica Médica,Medicina,"R. Tierno Galvan Torre 3 Piso 6, Sala 606, 1070-274 Lisboa, Portugal",21 387 3782,N/A (Google não fornece e-mail diretamente),http://www.clivip.pt/,Google Places API
Clínica Mirai Lisboa,Medicina,"Av. Praia da Vitória 12B, 1000-245 Lisboa, Portugal",937 447 415,N/A (Google não fornece e-mail diretamente),http://www.clinicamirai.pt/,Google Places API
Alegria Medical Centre,Medicina,"Av. da Liberdade 144 4E, 1250-146 Lisboa, Portugal",21 145 2289,N/A (Google não fornece e-mail diretamente),http://www.alegriamed.com/?utm_source=GMB&utm_medium=GMB&utm_campaign=GMB,Google Places API
Clínica ONYX - Lisboa,Medicina,"Edifício Alfacenter, Av. Columbano Bordalo Pinheiro 108 5º Andar, 1070-067 Lisboa, Portugal",21 589 5075,N/A (Google não fornece e-mail diretamente),https://clinicaonyx.com/,Google Places API
FMR (Lisboa),Medicina,"Av. Eng. Duarte Pacheco Torre 2 8º andar, sala 1, 1070-102 Lisboa, Portugal",21 191 9567,N/A (Google não fornece e-mail diretamente),http://www.clinicafmr.com/,Google Places API
MS MEDICAL INSTITUTES,Medicina,"Av. da República 43, 1050-187 Lisboa, Portugal",926 677 500,N/A (Google não fornece e-mail diretamente),https://msmedicalinstitutes.com/,Google Places API
Centro Clínico Preveris Lisboa,Medicina,"Estrada da Luz 62 C, 1600-160 Lisboa, Portugal",21 350 2300,N/A (Google não fornece e-mail diretamente),https://preveris.pt/,Google Places API
Clinica medica,Medicina,"R. da Q.ta de Santa Maria 16A, 1800-281 Lisboa, Portugal",N/A,N/A (Google não fornece e-mail diretamente),N/A,Google Places API
Hospital Lusíadas Lisboa,Medicina,"R. Abílio Mendes 12, 1500-458 Lisboa, Portugal",21 770 4040,N/A (Google não fornece e-mail diretamente),https://www.lusiadas.pt/hospitais-clinicas/hospital-lusiadas-lisboa,Google Places API
United Medical Clinic Lisbon,Medicina,"Av. Defensores de Chaves 73B, 1000-114 Lisboa, Portugal",300 502 822,N/A (Google não fornece e-mail diretamente),http://umedclinic.pt/,Google Places API
ASMECL,Medicina,"Largo São Cristóvão 1, 1100-513 Lisboa, Portugal",21 881 3300,N/A (Google não fornece e-mail diretamente),https://www.clinicasaocristovao.pt/,Google Places API
Hospital da Luz,Medicina,"Av. Lusíada 100, 1500-650 Lisboa, Portugal",21 710 4400,N/A (Google não fornece e-mail diretamente),https://www.hospitaldaluz.pt/lisboa/pt,Google Places API
First Health - Clínica Médica,Medicina,"Av. Marquês de Tomar 104, 1050-053 Lisboa, Portugal",21 798 6781,N/A (Google não fornece e-mail diretamente),http://www.firsthealth.pt/,Google Places API
Cligenus CMCM,Medicina,"Av. da Liberdade 244, 1250-149 Lisboa, Portugal",21 317 3900,N/A (Google não fornece e-mail diretamente),http://www.cligenus.com/,Google Places API
"LivClinic - Botox em Lisboa, Medicina Estética e Anti-Aging",Medicina,"R. Nova dos Mercadores 27A, 1990-239 Lisboa, Portugal",919 105 030,N/A (Google não fornece e-mail diretamente),https://livclinic.pt/,Google Places API
Clínica Oficina da Saúde,Medicina,"Avenida 5 de Outubro 89 9º, 1050-050 Lisboa, Portugal",918 112 406,N/A (Google não fornece e-mail diretamente),http://www.oficinadasaude.pt/,Google Places API
Clínica Médica Gerações,Medicina,"Av. Fontes Pereira de Melo 3 10º DTO, 1050-115 Lisboa, Portugal",21 358 3910,N/A (Google não fornece e-mail diretamente),http://www.clinicageracoes.pt/,Google Places API
MEA,Medicina,"Av. da Liberdade nº 108 6º andar, 1250-146 Lisboa, Portugal",937 252 525,N/A (Google não fornece e-mail diretamente),https://clinicamea.com/,Google Places API
CDL - Dental Clinic Lisbon,Medicina,"R. Ferreira da Silva 9B, 1900-228 Lisboa, Portugal",21 354 0059,N/A (Google não fornece e-mail diretamente),https://dentistalisboa.com/clinica-dentaria-lisboa?utm_source=Google&utm_medium=Organic_Local&utm_campaign=GMB,Google Places API
Clínica Dentária do Marquês,Medicina,"R. Braamcamp 14, 1250-048 Lisboa, Portugal",21 197 7188,N/A (Google não fornece e-mail diretamente),http://www.clinicadomarques.pt/,Google Places API
Clinica Mint - Clinica Dentária Lisboa,Medicina,"Av. Marquês de Tomar 5, 1050-152 Lisboa, Portugal",21 155 2308,N/A (Google não fornece e-mail diretamente),https://mint.pt/,Google Places API
